,AGVH,AGVD,AGVA,LEVEL,SUM
0,0.12,0.31,0.57,0,12.51
1,0.41,0.36,0.22,0,9.05
2,0.23,0.37,0.4,0,8.94
3,0.51,0.33,0.15,0,10.76
4,0.24,0.37,0.39,0,8.85
5,0.29,0.38,0.33,0,8.59
6,0.22,0.36,0.41,0,9.1
7,0.28,0.38,0.35,0,8.58
8,0.22,0.36,0.42,0,9.13
9,0.16,0.33,0.51,0,10.63
10,0.28,0.38,0.34,0,8.63
11,0.21,0.36,0.43,0,9.28
12,0.54,0.33,0.14,0,11.57
13,0.53,0.34,0.13,0,11.78
14,0.27,0.37,0.36,0,8.66
15,0.27,0.37,0.36,0,8.69
16,0.25,0.38,0.37,0,8.81
17,0.35,0.37,0.28,0,8.67
18,0.19,0.36,0.45,0,9.55
19,0.33,0.39,0.28,0,8.63
20,0.08,0.31,0.61,0,16.42
21,0.22,0.37,0.42,0,9.14
22,0.21,0.37,0.42,0,9.29
23,0.24,0.37,0.39,0,8.87
24,0.08,0.31,0.61,0,16.48
25,0.27,0.37,0.36,0,8.65
26,0.29,0.38,0.33,0,8.57
27,0.11,0.32,0.57,0,13.12
28,0.09,0.32,0.58,0,14.49
29,0.33,0.38,0.29,0,8.58
30,0.25,0.38,0.37,0,8.77
31,0.26,0.38,0.37,0,8.72
32,0.15,0.34,0.51,0,10.84
33,0.18,0.35,0.47,0,9.93
34,0.58,0.33,0.1,0,14.23
35,0.23,0.38,0.39,0,8.99
36,0.55,0.32,0.12,0,12.16
37,0.3,0.39,0.31,0,8.63
38,0.08,0.3,0.62,0,16.62
39,0.07,0.29,0.64,0,18.35
40,0.21,0.37,0.43,0,9.31
41,0.28,0.38,0.34,0,8.55
42,0.56,0.33,0.11,0,12.87
43,0.06,0.3,0.64,0,19.8
44,0.23,0.37,0.41,0,9.02
45,0.25,0.37,0.38,0,8.8
46,0.3,0.39,0.32,0,8.61
47,0.16,0.34,0.49,0,10.41
48,0.5,0.34,0.16,0,10.53
49,0.29,0.37,0.34,0,8.5
50,0.11,0.31,0.59,0,13.57
51,0.07,0.3,0.62,0,17.53
52,0.13,0.32,0.54,0,11.67
53,0.5,0.35,0.15,0,10.99
54,0.43,0.36,0.21,0,9.29
55,0.18,0.35,0.47,0,9.84
56,0.49,0.35,0.16,0,10.41
57,0.19,0.35,0.45,0,9.64
58,0.39,0.37,0.24,0,8.82
59,0.29,0.38,0.33,0,8.47
60,0.24,0.37,0.39,0,8.86
61,0.14,0.34,0.52,0,11.37
62,0.32,0.38,0.3,0,8.53
63,0.27,0.38,0.35,0,8.66
64,0.35,0.37,0.28,0,8.61
65,0.24,0.37,0.4,0,8.93
66,0.19,0.37,0.44,0,9.64
