AGVH AGVD AGVA SCORE
1.26 5.3 12.0 4
1.72 3.45 5.23 2
1.28 5.3 10.33 1
2.32 3.24 3.12 2
1.62 3.82 5.42 3
1.21 6.0 14.33 2
1.41 4.35 8.22 2
2.3 3.24 3.13 2
1.5 4.03 6.82 6
2.1 3.26 3.58 1
1.35 4.8 8.84 1
1.18 6.72 16.83 3
3.34 3.25 2.22 1
4.3 3.38 1.87 1
1.54 3.76 6.83 2
2.65 3.18 2.75 3
1.84 3.47 4.43 2
2.39 3.19 3.02 4
2.61 3.26 2.71 4
1.44 4.31 7.46 3
1.2 6.34 15.67 3
1.38 4.5 8.87 1
1.43 4.28 7.79 2
1.87 3.4 4.32 2
2.5 3.26 2.85 1
1.64 3.68 5.65 2
1.16 7.12 15.83 2
1.97 3.4 3.93 6
2.62 3.21 2.72 2
2.16 3.42 3.29 1
1.35 4.71 8.97 2
1.34 4.79 8.92 3
2.17 3.32 3.32 2
2.11 3.23 3.58 2
1.43 4.31 7.5 1
2.03 3.32 3.72 2
1.59 3.75 5.92 1
1.56 3.84 6.25 2
8.67 4.64 1.37 1
1.17 6.88 17.08 2
2.1 3.33 3.5 2
1.38 4.62 8.5 2
1.4 4.52 7.82 3
1.84 3.45 4.35 1
1.24 5.8 12.33 1
2.26 3.27 3.22 1
2.4 3.28 2.95 5
1.89 3.35 4.27 2
1.61 3.68 5.99 1
1.3 5.27 9.47 2
2.0 3.38 3.74 1
1.53 4.15 6.15 2
1.22 6.05 12.75 3
2.17 3.42 3.26 1
1.82 3.5 4.51 2
2.17 3.34 3.31 2
1.19 6.58 15.0 4
1.31 5.01 10.05 3
2.33 3.29 3.05 1
3.38 3.32 2.16 1
1.54 3.91 6.32 1
1.32 4.81 10.22 1
1.22 5.94 13.17 3
2.41 3.31 2.82 2
2.52 3.21 2.77 2
3.57 3.42 2.03 1
1.88 3.43 4.2 1
2.39 3.33 2.87 1
1.64 3.64 5.52 2
1.69 3.7 4.97 1
1.37 4.67 8.3 1
1.59 3.72 6.04 1
1.23 5.92 12.83 3
1.16 6.95 17.33 5
1.56 3.93 6.12 2
1.26 5.46 11.92 1
6.28 3.9 1.54 1
3.9 3.42 1.91 1
1.86 3.43 4.3 3
1.36 4.68 8.93 1
4.93 3.56 1.7 3
1.54 3.79 6.36 2
2.8 3.23 2.49 2
1.39 4.48 8.01 1
1.16 6.88 17.08 3
1.74 3.52 4.79 1
4.71 3.56 1.76 1
5.68 3.66 1.64 2
2.03 3.37 3.67 3
2.02 3.33 3.72 2
1.88 3.34 4.3 2
1.88 3.48 4.14 1
4.52 3.43 1.82 1
1.3 5.04 10.33 2
1.22 5.92 13.92 2
1.85 3.43 4.35 3
1.29 5.26 10.08 6
1.28 5.18 10.25 3
1.99 3.38 3.62 2
2.0 3.32 3.67 1
2.36 3.29 2.97 1
3.24 3.26 2.23 2
1.97 3.35 3.78 1
1.85 3.5 4.21 1
1.48 4.08 6.87 5
1.29 5.33 10.42 3
1.17 6.97 15.75 3
2.43 3.23 2.92 4
2.47 3.38 2.78 3
2.08 3.29 3.6 2
1.13 7.91 19.67 2
1.88 3.42 4.2 1
4.13 3.4 1.9 1
1.6 3.71 6.04 5
2.43 3.22 2.91 1
2.37 3.27 3.02 1
1.38 4.5 8.47 1
2.8 3.26 2.52 1
3.84 3.32 2.0 1
1.27 5.5 11.0 2
6.08 3.78 1.57 1
1.45 4.2 7.12 1
1.76 3.44 5.0 3
1.78 3.57 4.5 1
2.41 3.32 2.89 2
1.88 3.52 4.14 1
4.59 3.55 1.79 1
1.33 4.81 9.58 3
2.4 3.32 2.88 1
1.76 3.59 4.66 1
2.0 3.34 3.78 2
1.24 5.71 13.0 1
1.8 3.5 4.51 2
1.72 3.63 4.87 1
5.5 3.88 1.6 1
2.6 3.23 2.75 2
2.89 3.36 2.39 2
1.4 4.34 8.25 2
1.26 5.51 11.92 1
1.61 3.82 5.48 1
1.97 3.38 3.86 3
2.44 3.33 2.86 1
1.17 6.95 15.25 2
1.88 3.38 4.25 4
1.55 4.03 5.92 2
1.23 5.67 13.42 4
2.12 3.33 3.42 3
8.88 4.69 1.36 1
2.01 3.38 3.62 3
2.16 3.3 3.42 1
1.23 5.88 12.5 4
2.06 3.43 3.48 2
1.89 3.5 4.1 1
1.66 3.73 5.28 3
3.88 3.52 1.94 1
1.82 3.47 4.48 4
2.81 3.35 2.46 4
1.37 4.68 8.38 5
1.39 4.7 7.62 2
2.17 3.38 3.33 1
1.85 3.47 4.23 1
1.17 6.75 16.08 2
1.86 3.49 4.24 1
2.17 3.4 3.27 3
1.3 5.25 9.59 1
2.22 3.43 3.13 2
1.13 8.04 18.0 1
2.19 3.37 3.21 2
3.35 3.43 2.1 1
1.4 4.5 8.17 2
1.59 3.81 5.83 1
1.81 3.51 4.44 5
2.57 3.27 2.74 1
3.91 3.45 1.94 3
2.23 3.3 3.23 1
1.18 6.51 15.83 1
4.23 3.52 1.86 1
1.26 5.54 11.58 2
1.5 4.18 6.42 2
   1
2.08 3.31 3.56 3
1.19 6.67 13.42 2
2.9 3.29 2.44 2
2.48 3.3 2.83 3
1.36 4.68 9.01 5
2.34 3.24 3.05 2
2.03 3.32 3.71 3
1.25 5.71 11.92 4
1.34 4.59 9.12 1
2.43 3.22 2.87 3
1.77 3.56 4.44 1
1.74 3.52 4.66 1
1.47 4.06 6.79 1
1.43 4.35 7.71 2
1.9 3.32 4.21 2
1.98 3.33 3.84 1
1.22 5.99 13.5 3
1.28 5.29 11.42 3
1.86 3.52 4.2 1
1.46 4.16 7.47 2
1.81 3.53 4.42 1
1.35 4.82 9.15 1
1.3 5.14 10.79 2
5.95 4.05 1.55 1
2.06 3.38 3.67 1
1.87 3.53 4.17 3
1.35 4.84 8.56 1
1.22 6.04 12.92 1
2.28 3.33 3.12 1
1.97 3.45 3.83 1
1.69 3.82 5.03 1
2.6 3.26 2.75 1
1.74 3.67 4.83 2
1.49 4.02 7.14 1
1.89 3.4 4.24 1
1.61 3.95 5.61 1
1.95 3.58 3.83 3
1.44 4.32 7.25 3
1.21 6.38 13.08 5
7.25 4.47 1.43 1
4.26 3.58 1.83 1
3.88 3.51 1.95 1
1.18 6.88 15.83 2
2.18 3.28 3.4 1
1.88 3.5 4.15 1
2.35 3.38 2.96 2
1.64 3.74 5.56 2
1.97 3.38 3.93 1
1.24 5.92 11.88 1
1.95 3.33 4.02 1
2.33 3.32 3.04 2
2.36 3.32 2.98 1
1.42 4.41 7.8 1
3.95 3.44 1.93 2
2.12 3.28 3.55 1
1.99 3.37 3.82 3
1.52 4.11 6.27 2
1.94 3.45 3.92 1
2.02 3.42 3.67 1
1.91 3.51 4.01 1
1.99 3.4 3.82 3
1.2 6.46 14.08 2
2.14 3.36 3.34 1
2.43 3.37 2.84 1
1.62 3.88 5.32 1
1.56 3.8 6.39 4
1.15 7.75 17.83 1
2.08 3.3 3.61 1
1.99 3.43 3.79 1
1.35 4.92 8.84 8
1.47 4.25 6.93 1
1.24 6.1 11.83 1
3.22 3.21 2.29 2
6.6 3.93 1.54 1
1.45 4.35 7.18 4
1.3 5.29 9.96 2
2.75 3.27 2.57 1
1.3 5.13 11.17 3
1.34 4.86 9.39 2
2.12 3.32 3.47 1
1.41 4.39 8.38 3
2.9 3.25 2.5 1
2.32 3.24 3.17 3
1.86 3.64 4.15 1
1.33 5.13 9.34 5
1.25 5.92 11.92 2
2.16 3.3 3.5 2
1.92 3.54 3.93 1
1.43 4.45 7.42 4
1.59 4.02 5.69 1
2.17 3.36 3.42 2
1.21 6.67 12.75 1
1.43 4.24 8.21 1
3.92 3.49 1.96 1
2.42 3.28 2.94 1
2.39 3.27 3.05 1
1.33 5.17 9.0 3
5.54 3.93 1.62 2
1.91 3.39 4.3 1
1.85 3.51 4.4 3
1.68 3.76 5.19 1
2.57 3.29 2.78 1
1.72 3.76 4.89 2
1.57 4.1 5.77 5
1.33 5.09 9.72 1
2.17 3.23 3.56 1
3.62 3.33 2.09 1
2.03 3.37 3.79 1
1.96 3.42 4.03 2
2.1 3.38 3.51 2
1.41 4.57 8.04 1
1.39 4.73 8.24 2
1.32 5.18 9.38 4
2.1 3.48 3.45 1
2.3 3.45 3.04 1
2.25 3.28 3.3 2
2.34 3.28 3.12 1
1.93 3.62 3.84 1
1.84 3.46 4.52 1
2.22 3.33 3.3 1
3.68 3.37 2.07 2
1.16 7.75 16.0 1
4.18 3.55 1.88 2
1.38 4.68 8.81 2
2.26 3.31 3.25 1
1.24 6.08 12.22 3
1.54 3.92 6.68 1
1.3 5.25 10.5 4
3.56 3.4 2.09 1
2.28 3.28 3.23 2
1.93 3.44 4.1 1
1.95 3.46 3.96 1
1.34 4.92 9.97 1
2.06 3.42 3.63 1
1.25 6.0 11.97 2
1.43 4.54 7.28 2
1.26 5.79 11.25 1
1.73 3.71 4.89 1
3.27 3.32 2.26 1
2.28 3.34 3.19 2
3.13 3.39 2.29 2
1.25 6.17 11.13 3
1.5 4.11 6.93 1
1.27 5.58 11.58 1
2.16 3.21 3.61 1
1.33 5.21 9.05 2
2.22 3.29 3.37 5
1.46 4.42 7.05 1
1.36 4.86 8.68 1
1.5 4.23 6.71 2
1.3 5.46 10.33 1
2.15 3.4 3.43 4
1.37 5.06 7.89 3
1.66 3.85 5.23 1
1.24 6.25 11.83 1
1.28 5.53 11.08 1
1.68 3.76 5.21 2
1.4 4.59 8.51 1
1.94 3.49 3.93 2
1.2 6.34 15.67 2
1.3 5.38 10.04 4
1.29 5.42 10.0 1
2.43 3.27 2.98 1
1.83 3.45 4.62 1
7.54 4.45 1.43 1
1.59 3.96 5.85 1
2.52 3.26 2.87 2
1.17 7.34 16.42 2
2.1 3.4 3.52 1
2.81 3.29 2.54 1
2.07 3.53 3.48 1
2.61 3.29 2.74 1
3.43 3.32 2.22 1
1.21 6.47 14.33 2
1.45 4.31 7.58 2
1.3 5.42 11.25 2
2.04 3.32 3.87 3
1.36 4.84 9.31 2
2.18 3.35 3.45 3
6.43 4.02 1.54 1
2.37 3.22 3.12 1
1.47 4.16 7.56 2
1.64 3.83 5.68 1
2.32 3.25 3.19 1
1.21 6.33 14.17 2
1.64 3.9 5.4 2
2.06 3.35 3.72 2
1.28 5.45 10.83 3
1.25 5.88 13.05 3
1.45 4.22 7.72 1
1.59 3.92 5.94 4
1.41 4.68 7.62 3
1.34 4.92 9.58 1
1.62 3.78 5.9 2
2.35 3.3 3.08 1
2.8 3.27 2.58 1
1.42 4.43 8.01 1
2.23 3.35 3.28 2
2.12 3.32 3.59 1
1.19 6.92 15.0 7
5.6 3.88 1.63 2
1.56 3.97 6.22 2
3.2 3.3 2.3 1
1.98 3.38 3.96 2
1.25 5.75 13.05 4
2.5 3.24 2.9 2
1.57 3.78 6.67 3
2.2 3.42 3.29 1
8.01 4.77 1.39 1
1.6 3.93 5.89 2
1.78 3.61 4.75 1
2.08 3.24 3.82 2
1.67 3.77 5.3 6
1.61 3.77 6.02 4
2.02 3.38 3.78 1
1.93 3.42 4.15 1
1.91 3.39 4.31 3
1.53 4.12 6.51 2
5.82 3.86 1.61 2
1.28 5.53 11.42 3
2.97 3.22 2.47 1
1.2 6.63 14.25 2
1.26 5.79 11.38 4
2.13 3.42 3.45 3
2.66 3.22 2.74 2
1.28 5.54 10.8 3
6.02 3.89 1.59 1
2.72 3.22 2.68 2
2.55 3.26 2.82 1
1.18 7.04 17.25 1
1.38 4.5 9.26 3
1.81 3.59 4.46 3
1.21 6.38 14.33 2
1.35 4.93 9.05 2
2.28 3.17 3.35 1
1.34 5.06 9.14 1
1.77 3.87 4.39 1
1.78 3.53 4.77 4
2.06 3.31 3.77 6
1.12 8.58 21.5 1
2.16 3.37 3.4 1
1.81 3.53 4.56 1
1.47 4.11 7.35 3
1.25 5.88 12.25 2
2.44 3.3 2.92 1
1.27 5.66 10.25 2
2.51 3.33 2.8 1
1.4 4.54 8.95 2
1.53 4.01 6.58 2
1.81 3.58 4.56 1
1.37 4.69 9.38 2
1.21 6.42 13.83 2
2.3 3.15 3.37 1
1.13 8.58 20.25 2
2.38 3.2 3.15 1
1.76 3.7 4.77 2
2.47 3.12 3.1 1
1.82 3.68 4.36 4
1.25 5.83 12.92 2
1.73 3.65 4.98 2
2.57 3.22 2.84 1
2.09 3.31 3.69 1
2.26 3.31 3.28 1
1.5 4.18 7.0 1
6.32 3.85 1.58 1
2.79 3.28 2.57 2
1.22 6.17 14.25 2
1.26 5.58 13.17 3
2.52 3.19 2.92 2
2.18 3.42 3.32 4
1.82 3.55 4.58 3
2.11 3.33 3.62 1
2.03 3.38 3.77 2
1.31 5.22 10.58 3
1.57 3.92 6.39 1
1.18 7.25 16.25 1
2.93 3.28 2.46 2
1.3 5.41 10.5 1
